"","ChelioInermis","X1"
"1","Bolbometopon_muricatum",3
"2","Calotomus_carolinus",5
"3","Epibulus_insidiator",23
"4","Chlorurus_oedema",17
"5","Cryptotomus_roseus",3
"6","Hipposcarus_longiceps",2
"7","BodianusMesothorax",78
"8","HalichoeresArgus",82
"9","LabroidesBicolor",14
"10","Tautoga_onitis",24
"11","Leptoscarus_vaigiensis",1
"12","NovaculichthysTaeniura",37
"13","HalichoeresNicholsi",103
"14","OpthalmolepisLineolatus",1
"15","PseudocheilinusOcto",78
"16","PseudolabrusGayi",25
"17","Scarus_dimidiatus",52
"18","Sparisoma_viride",13
"19","StethojulisTrilineata",10
"20","MelapterusReticulatus",1
