species, richness
"ChelioInermis",1
"Bolbometopon_muricatum",3
"Calotomus_carolinus",5
"Epibulus_insidiator",23
"Chlorurus_oedema",17
"Cryptotomus_roseus",3
"Hipposcarus_longiceps",2
"BodianusMesothorax",78
"HalichoeresArgus",82
"LabroidesBicolor",14
"Tautoga_onitis",24
"Leptoscarus_vaigiensis",1
"NovaculichthysTaeniura",37
"HalichoeresNicholsi",103
"OpthalmolepisLineolatus",1
"PseudocheilinusOcto",78
"PseudolabrusGayi",25
"Scarus_dimidiatus",52
"Sparisoma_viride",13
"StethojulisTrilineata",10
"MelapterusReticulatus",1
